common.breadcrumb	Ruta de navegación
auxPages.faq.categories.iplEducationSafety.faqs.flashModes.answer	Muchas depiladoras IPL ofrecen modos como Stamp (un destello por pulsación), Auto (destello automático en contacto con la piel) y Glide (movimiento continuo sobre zonas más amplias). Los modos disponibles y la técnica recomendada dependen del modelo y del diseño de seguridad.
auxPages.faq.categories.iplEducationSafety.faqs.recurringCostsAndLifetime.question	¿Hay costes recurrentes y cuánto dura una depiladora IPL?
auxPages.faq.categories.iplEducationSafety.faqs.recurringCostsAndLifetime.answer	La mayoría de las depiladoras IPL de uso doméstico están diseñados con un alto número de destellos y no requieren recambios. El número de destellos y la vida útil varían según el modelo y la configuración; muchos dispositivos están diseñados para años de uso con programas de tratamiento habituales.
auxPages.faq.categories.complianceQuality.title	Certificación, cumplimiento normativo y calidad
auxPages.faq.categories.complianceQuality.description	Respuestas centradas en pruebas, documentación, certificaciones y control de fabricación para mercados regulados o sensibles a la calidad.
auxPages.faq.categories.complianceQuality.faqs.certifications.question	¿Qué certificaciones tienen tus productos?
auxPages.faq.categories.complianceQuality.faqs.certifications.answer	Las certificaciones de producto dependen del modelo y del mercado. Las áreas de soporte habituales incluyen el marcado CE, las vías de documentación relacionadas con la FDA, las normas de seguridad IEC y la documentación del sistema de calidad requerida para la revisión en la región de destino.
auxPages.faq.categories.complianceQuality.faqs.regulatoryCompliance.question	¿Pueden ayudarnos con el cumplimiento normativo en nuestro mercado de destino?
auxPages.faq.categories.complianceQuality.faqs.regulatoryCompliance.answer	Sí. Apoyamos la preparación de documentación, la coordinación de pruebas y la comunicación sobre cumplimiento para muchos requisitos habituales de entrada en el mercado. La estrategia normativa final siempre debe confirmarse en función de tus necesidades legales y de certificación locales.
auxPages.faq.categories.complianceQuality.faqs.qualityControlMeasures.question	¿Qué medidas de control de calidad tienen implantadas?
auxPages.faq.categories.complianceQuality.faqs.qualityControlMeasures.answer	Nuestro proceso incluye inspección de materiales entrantes, controles durante el proceso, pruebas funcionales, verificación de seguridad, inspección cosmética y revisión previa al envío. Esto ayuda a reducir la variabilidad antes de que los productos lleguen a tu almacén o a tu socio de canal.
auxPages.faq.categories.complianceQuality.faqs.afterSalesWarranty.question	¿Ofrecen soporte posventa y garantía?
auxPages.faq.categories.complianceQuality.faqs.afterSalesWarranty.answer	Sí. Apoyamos la coordinación posventa con orientación para la resolución de problemas, planificación de piezas de repuesto y análisis del proceso de garantía, para que la experiencia del cliente y el flujo de trabajo interno de servicio sigan siendo gestionables después del lanzamiento.
auxPages.faq.categories.moqLeadTimeLogistics.title	MOQ, plazo de entrega, embalaje y logística
auxPages.faq.categories.moqLeadTimeLogistics.description	Temas comerciales y de cumplimiento de pedidos que cubren solicitudes de muestras, tiempos de producción, embalaje y planificación de la entrega internacional.
auxPages.faq.categories.moqLeadTimeLogistics.faqs.requestSample.question	¿Cómo puedo solicitar una muestra?
auxPages.faq.categories.moqLeadTimeLogistics.faqs.requestSample.answer	Puedes solicitar una muestra a través de nuestra página de contacto o escribiendo a service@ishineco.com. La planificación de la muestra suele comenzar con tu mercado objetivo, el posicionamiento deseado y si necesitas una configuración estándar o personalizada.
auxPages.faq.categories.moqLeadTimeLogistics.faqs.productionLeadTime.question	¿Cuál es el plazo de producción habitual para pedidos al por mayor?
auxPages.faq.categories.moqLeadTimeLogistics.faqs.productionLeadTime.answer	El plazo de producción depende del tamaño del pedido, la lista de materiales, la complejidad del embalaje y el estado de la certificación. Las series estándar suelen avanzar más rápido, mientras que los proyectos personalizados necesitan tiempo adicional para validación, aprovisionamiento y aprobaciones.
auxPages.faq.categories.moqLeadTimeLogistics.faqs.customizePackagingManuals.question	¿Pueden personalizar el embalaje, los manuales y los accesorios?
auxPages.faq.categories.moqLeadTimeLogistics.faqs.customizePackagingManuals.answer	Sí. Podemos ofrecer cajas de marca, insertos, manuales, etiquetado y selección de accesorios para adaptarnos a tus requisitos de venta minorista, comercio electrónico o distribución.
auxPages.faq.categories.moqLeadTimeLogistics.faqs.shipInternationally.question	¿Hacen envíos internacionales?
auxPages.faq.categories.moqLeadTimeLogistics.faqs.shipInternationally.answer	Sí. Apoyamos la documentación de exportación y podemos coordinar la planificación del envío por vía aérea, marítima o por mensajería en función del plazo, el tamaño del pedido y los requisitos del destino.
auxPages.faq.categories.nextStepsSupport.title	Siguientes pasos y soporte comercial
auxPages.faq.categories.nextStepsSupport.description	Orientación útil para equipos que están comparando proveedores, validando requisitos o preparando un calendario de lanzamiento.
auxPages.faq.categories.nextStepsSupport.faqs.prepareBeforeContacting.question	¿Qué debería preparar antes de ponerme en contacto con tu equipo?
auxPages.faq.categories.nextStepsSupport.faqs.prepareBeforeContacting.answer	Ayuda compartir tu mercado objetivo, el volumen previsto, el posicionamiento deseado de la depiladora, las necesidades de certificación, la orientación del embalaje y la ventana de lanzamiento prevista. Incluso un resumen aproximado nos ayuda a orientar el siguiente paso con más rapidez.
auxPages.faq.categories.nextStepsSupport.faqs.startupBrands.question	¿Pueden dar soporte tanto a marcas emergentes como a compradores consolidados?
auxPages.faq.categories.nextStepsSupport.faqs.startupBrands.answer	Sí. Trabajamos con marcas emergentes y consolidadas. La vía recomendada puede variar en función de tu presupuesto, la fase de lanzamiento, las necesidades de personalización y la preparación de tu cadena de suministro.
auxPages.faq.categories.nextStepsSupport.faqs.standardVsCustom.question	¿Cómo decidimos entre un modelo estándar y un programa totalmente personalizado?
auxPages.faq.categories.nextStepsSupport.faqs.standardVsCustom.answer	Esa decisión suele depender de la velocidad, el presupuesto, la estrategia de canal y las necesidades de diferenciación. Una plataforma estándar puede acelerar el lanzamiento, mientras que un programa personalizado más profundo puede crear una mayor diferenciación en el mercado con el tiempo.
auxPages.faq.categories.nextStepsSupport.faqs.unansweredQuestions.question	¿Cuál es el mejor siguiente paso si aún tenemos preguntas sin responder?
auxPages.faq.categories.nextStepsSupport.faqs.unansweredQuestions.answer	El siguiente paso más rápido es una conversación directa con nuestro equipo. Podemos revisar el resumen de tu producto, recomendar una vía de desarrollo adecuada y aclarar cuestiones de MOQ, plazos, cumplimiento normativo y embalaje.
auxPages.privacy.pageTitle	Política de Privacidad
auxPages.privacy.pageDescription	Cómo recopilamos, utilizamos, almacenamos y compartimos la información cuando utilizas iplmanufacturer.com.
auxPages.privacy.privacyNotice	Aviso de Privacidad
auxPages.privacy.lastUpdated	Última actualización: 2 de julio de 2026
auxPages.privacy.tableOfContents	Índice
auxPages.privacy.inShort	En resumen:
auxPages.privacy.noticeList1Before	Visita nuestro sitio web en
auxPages.privacy.noticeList1After	, o cualquier otro sitio web nuestro que enlace con este aviso de privacidad
auxPages.privacy.noticeIntro2Before	¿Preguntas o inquietudes? Leer este aviso de privacidad te ayudará a comprender tus derechos y opciones de privacidad. Si no estás de acuerdo con nuestras políticas y prácticas, no utilizas nuestros Servicios. Si aún tienes preguntas o inquietudes, ponte en contacto con nosotros en
auxPages.privacy.noticeIntro2Mid	o por teléfono en
auxPages.privacy.noticeIntro1	Este aviso de privacidad de {companyName} («la Empresa», «nosotros» o «nuestro») describe cómo y por qué podemos recopilar, almacenar, utilizar y/o compartir («tratar») tu información cuando utilizas nuestros servicios («Servicios»), por ejemplo cuando:
auxPages.privacy.noticeList2	Interactúe con nosotros de otras formas relacionadas, incluidas ventas, marketing o eventos
auxPages.privacy.contactIntroBefore	Si tienes preguntas o comentarios sobre este aviso, puedes ponerte en contacto con nosotros por correo electrónico en
auxPages.privacy.contactIntroBetween	, por teléfono en
auxPages.privacy.contactIntroAfter	, o por correo postal a:
auxPages.privacy.vatLabel	Número de IVA:
auxPages.privacy.receiverLabel	Nombre del destinatario:
auxPages.privacy.postCodeLabel	Código postal / ZIP:
auxPages.privacy.phoneLabel	Número de teléfono:
auxPages.privacy.summary.title	Resumen de los puntos clave
auxPages.privacy.summary.intro	Este resumen ofrece los puntos clave de nuestro aviso de privacidad. Puedes encontrar más detalles sobre cualquier tema mediante el índice de contenidos.
auxPages.privacy.summary.q1	¿Qué información personal procesamos?
auxPages.privacy.summary.a1	Cuando visitas, utilizas o navegas por nuestros Servicios, es posible que procesemos información personal en función de cómo interactúe con {companyName} y con los Servicios, de las opciones que eliges y de los productos y funciones que utilizas.
auxPages.privacy.summary.q2	¿Procesamos información personal sensible?
auxPages.privacy.summary.a2	No procesamos información personal sensible.
auxPages.privacy.summary.q3	¿Recibimos información de terceros?
auxPages.privacy.summary.a3	No recibimos información de terceros.
auxPages.privacy.summary.q4	¿Cómo procesamos tu información?
auxPages.privacy.summary.a4	Procesamos tu información para prestar, mejorar y administrar nuestros Servicios, comunicarnos con usted, garantizar la seguridad y prevenir el fraude, y cumplir con la ley. También podemos procesar tu información con otros fines si contamos con tu consentimiento.
auxPages.privacy.summary.q5	¿En qué situaciones y con qué partes compartimos la información personal?
auxPages.privacy.summary.a5	Podemos compartir información en situaciones específicas descritas en este aviso.
auxPages.privacy.summary.q6	¿Cómo mantenemos segura tu información?
auxPages.privacy.summary.a6	Disponemos de procesos y procedimientos organizativos y técnicos para proteger tu información personal. No obstante, ninguna transmisión electrónica por Internet ni tecnología de almacenamiento de información puede garantizarse como 100 % segura.
auxPages.privacy.summary.q7	¿Cuáles son tus derechos?
auxPages.privacy.summary.a7	En función de tu ubicación geográfica, la legislación de privacidad aplicable puede otorgarte ciertos derechos sobre tu información personal.
auxPages.privacy.summary.q8	¿Cómo puedes ejercer tus derechos?
auxPages.privacy.summary.a8	La forma más sencilla de ejercer tus derechos es ponerte en contacto con nosotros por correo electrónico o por correo postal, utilizando los datos de la sección «¿Cómo puede contactarnos en relación con este aviso?».
auxPages.privacy.sections.infoWeCollect.title	1. ¿Qué información recopilamos?
auxPages.privacy.sections.infoWeCollect.discloseTitle	Información personal que nos proporciona
auxPages.privacy.sections.infoWeCollect.discloseInShort	Recopilamos la información personal que usted nos proporciona.
auxPages.privacy.sections.infoWeCollect.discloseBody1	Recopilamos la información personal que usted nos proporciona voluntariamente cuando muestra interés en obtener información sobre nosotros o sobre nuestros productos y Servicios, cuando participa en actividades de los Servicios o cuando se pone en contacto con nosotros.
auxPages.privacy.sections.infoWeCollect.discloseSubtitle	Información personal proporcionada por usted.
auxPages.privacy.sections.infoWeCollect.discloseBody2	La información personal que recopilamos depende del contexto de tus interacciones con nosotros y con los Servicios, de las opciones que eliges y de los productos y funciones que utilizas. La información personal que recopilamos puede incluir:
auxPages.privacy.sections.infoWeCollect.discloseList1	direcciones postales
