common.breadcrumb	Breadcrumb
auxPages.privacy.summary.a4	We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law. We may also process your information for other purposes with your consent.
auxPages.privacy.summary.q5	In what situations and with which parties do we share personal information?
auxPages.privacy.summary.a5	We may share information in specific situations described in this notice.
auxPages.privacy.summary.q6	How do we keep your information safe?
auxPages.privacy.summary.a6	We have organizational and technical processes and procedures in place to protect your personal information. However, no electronic transmission over the internet or information storage technology can be guaranteed to be 100% secure.
auxPages.privacy.summary.q7	What are your rights?
auxPages.privacy.summary.a7	Depending on where you are located geographically, the applicable privacy law may mean you have certain rights regarding your personal information.
auxPages.privacy.summary.q8	How do you exercise your rights?
auxPages.privacy.summary.a8	The easiest way to exercise your rights is by contacting us via email or post using the details in the “How can you contact us about this notice?” section.
auxPages.privacy.sections.infoWeCollect.title	1. What information do we collect?
auxPages.privacy.sections.infoWeCollect.discloseTitle	Personal information you disclose to us
auxPages.privacy.sections.infoWeCollect.discloseInShort	We collect personal information that you provide to us.
auxPages.privacy.sections.infoWeCollect.discloseBody1	We collect personal information that you voluntarily provide to us when you express an interest in obtaining information about us or our products and Services, when you participate in activities on the Services, or otherwise when you contact us.
auxPages.privacy.sections.infoWeCollect.discloseSubtitle	Personal Information Provided by You.
auxPages.privacy.sections.infoWeCollect.discloseBody2	The personal information that we collect depends on the context of your interactions with us and the Services, the choices you make, and the products and features you use. The personal information we collect may include:
auxPages.privacy.sections.infoWeCollect.discloseList1	mailing addresses
auxPages.privacy.sections.infoWeCollect.discloseList2	job titles
auxPages.privacy.sections.infoWeCollect.discloseList3	email addresses
auxPages.privacy.sections.infoWeCollect.discloseList4	contact or authentication data
auxPages.privacy.sections.infoWeCollect.discloseList5	contact preferences
auxPages.privacy.sections.infoWeCollect.sensitiveSubtitle	Sensitive Information.
auxPages.privacy.sections.infoWeCollect.sensitiveText	We do not process sensitive information.
auxPages.privacy.sections.infoWeCollect.discloseBody3	All personal information that you provide to us must be true, complete, and accurate, and you must notify us of any changes to such personal information.
auxPages.privacy.sections.infoWeCollect.autoTitle	Information automatically collected
auxPages.privacy.sections.infoWeCollect.autoInShort	Some information — such as your Internet Protocol (IP) address and/or browser and device characteristics — is collected automatically when you visit our Services.
auxPages.privacy.sections.infoWeCollect.autoBody1	We automatically collect certain information when you visit, use, or navigate the Services. This information does not reveal your specific identity (like your name or contact information) but may include device and usage information, such as your IP address, browser and device characteristics, operating system, language preferences, referring URLs, device name, country, location, information about how and when you use our Services, and other technical information. This information is primarily needed to maintain the security and operation of our Services, and for our internal analytics and reporting purposes.
auxPages.privacy.sections.infoWeCollect.autoBody2	The information we collect includes:
auxPages.privacy.sections.infoWeCollect.autoList1Title	Log and Usage Data.
auxPages.privacy.sections.infoWeCollect.autoList1Text	 Service-related, diagnostic, usage, and performance information our servers automatically collect when you access or use our Services and which we record in log files.
auxPages.privacy.sections.infoWeCollect.autoList2Title	Device Data.
auxPages.privacy.sections.infoWeCollect.autoList2Text	 Information about your computer, phone, tablet, or other device you use to access the Services.
auxPages.privacy.sections.infoWeCollect.autoList3Title	Location Data.
auxPages.privacy.sections.infoWeCollect.autoList3Text	 Information about your device’s location, which can be either precise or imprecise, depending on device settings and permissions.
auxPages.privacy.sections.howWeProcess.title	2. How do we process your information?
auxPages.privacy.sections.howWeProcess.inShort	We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law. We may also process your information for other purposes with your consent.
auxPages.privacy.sections.howWeProcess.body1	We process your personal information for a variety of reasons, depending on how you interact with our Services, including:
auxPages.privacy.sections.howWeProcess.list1	To request feedback
auxPages.privacy.sections.howWeProcess.list2	To send you marketing and promotional communications (you can opt out at any time)
auxPages.privacy.sections.howWeProcess.list3	To deliver targeted advertising to you
auxPages.privacy.sections.howWeProcess.list4	To protect our Services, including fraud monitoring and prevention
auxPages.privacy.sections.howWeProcess.list5	To identify usage trends and improve the Services
auxPages.privacy.sections.howWeProcess.list6	To determine the effectiveness of marketing and promotional campaigns
auxPages.privacy.sections.howWeProcess.list7	To save or protect an individual’s vital interest, such as to prevent harm
auxPages.privacy.sections.legalBases.title	3. What legal bases do we rely on to process your personal information?
auxPages.privacy.sections.legalBases.inShort	We only process your personal information when we believe it is necessary and we have a valid legal reason to do so under applicable law.
auxPages.privacy.sections.legalBases.body1	If you are located in the EU or UK, this section applies to you. The General Data Protection Regulation (GDPR) and UK GDPR require us to explain the valid legal bases we rely on in order to process your personal information. We may rely on the following legal bases:
auxPages.privacy.sections.legalBases.list1Title	Consent.
auxPages.privacy.sections.legalBases.list1Text	 You can withdraw your consent at any time by contacting us.
auxPages.privacy.sections.legalBases.list2Title	Legitimate Interests.
auxPages.privacy.sections.legalBases.list2Text	 We may process your information when it is reasonably necessary to achieve our legitimate business interests and those interests do not outweigh your rights and freedoms.
auxPages.privacy.sections.legalBases.list3Title	Legal Obligations.
auxPages.privacy.sections.legalBases.list3Text	 We may process your information where it is necessary for compliance with our legal obligations.
auxPages.privacy.sections.legalBases.list4Title	Vital Interests.
auxPages.privacy.sections.legalBases.list4Text	 We may process your information where it is necessary to protect your vital interests or the vital interests of a third party.
auxPages.privacy.sections.legalBases.body2	If you are located in Canada, we may process your information with express or implied consent where permitted, and you can withdraw your consent at any time by contacting us.
auxPages.privacy.sections.share.title	4. When and with whom do we share your personal information?
auxPages.privacy.sections.share.inShort	We may share information in specific situations described in this section.
auxPages.privacy.sections.share.body1	We may need to share your personal information in the following situations:
auxPages.privacy.sections.share.list1Title	Business Transfers.
auxPages.privacy.sections.share.list1Text	 We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
auxPages.privacy.sections.retention.title	5. How long do we keep your information?
auxPages.privacy.sections.retention.inShort	We keep your information for as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise required by law.
auxPages.privacy.sections.retention.body1	We will only keep your personal information for as long as it is necessary for the purposes set out in this privacy notice, unless a longer retention period is required or permitted by law (such as tax, accounting, or other legal requirements).
auxPages.privacy.sections.retention.body2	When we have no ongoing legitimate business need to process your personal information, we will either delete or anonymize such information, or, if this is not possible (for example, because your personal information has been stored in backup archives), then we will securely store your personal information and isolate it from any further processing until deletion is possible.
